target_id,total_pop_chg,total_pop_chg_adj,units_chg,units_chg_adj,rgid,county_id,ofm_total_pop,ofm_hhpop,ofm_units,ofm_hh,ofm_gq,ofm_vacancy_by_rgid,ofm_gq_pct,gq_2044,total_pop_2044,hhpop_2044,units_2044,hh_2044,hhsz_2044,king_hhsz,vacancy_rate,hhpop_initial_2044,initial_hhpop_2044_sum_by_rgid,hhpop_rgid_factored_2044,hhpop_factor,emp_chg,emp_chg_adj,control_id_2023,control_name_2023,Emp_TotNoMil_2023,Emp_ConRes_2023,Emp_Military_2023,Emp_Total_2023,TotEmpNoMil-ResCon_2023,emp_2044,res_con_pct,res_con_target_pct,emp_chg_cnty_sum,res_con_emp_chg_cnty_sum,res_con_emp_chg_target,emp_chg_adj_res_con,hh_annual_change,hh_2050,total_pop_annual_change,total_pop_2050,emp_annual_change,emp_2050,gq_2050,hhpop_2050,hhsz_2050
52,,,3.0,3.0,5,53033,474.53074161211646,474.53074161211646,177.81499898433682,166.11475110054016,0.0,,0.0,0,475.0,475.0,180.81499898433682,175.0,2.724206305275889,2.65,3.0,477.0,21651.0,21571.0,0.9963050205533232,300,264,52,Kent PAA,259,64,0,259,195,556,0.2471042471042471,74.13127413127414,490831.0,13743.268,32.90188186711632,296.90188186711634,0.4231070904504685,178,0.022345637518263912,475,14.142857142857142,641,0,475,2.668539325842697
53,,,448.0,371.0,5,53033,2161.6070010965377,2161.6070010965377,713.545466902284,686.1792285073398,0.0,,0.0,0,3148.0,3148.0,1084.545466902284,1052.0,3.0041596727536475,2.65,3.0,3160.0,21651.0,21571.0,0.9963050205533232,400,400,53,King UGA,554,52,0,554,502,971,0.09386281588447654,37.545126353790614,490831.0,13743.268,16.663753948041613,416.66375394804163,17.420036737745725,1157,46.97109518587916,3430,19.857142857142858,1090,0,3430,2.964563526361279
57,,,1.0,1.0,5,53033,12.967000007629395,12.967000007629395,3.0,1.993000030517578,0.0,,0.0,0,11.0,11.0,4.0,4.0,2.65,2.65,3.0,11.0,21651.0,21571.0,0.9963050205533232,0,0,57,Newcastle PAA,0,0,0,0,0,0,0.0,0.0,490831.0,13743.268,0.0,0.0,0.09557142711821057,5,0.0,13,0.0,0,0,13,2.6
58,,,134.0,129.0,5,53033,821.621105160032,813.621105160032,311.5800018310547,288.77896170956745,8.0,,0.0001263828855945608,13,1156.0,1143.0,440.5800018310547,427.0,2.686831900074932,2.65,3.0,1147.0,21651.0,21571.0,0.9963050205533232,0,0,58,Pacific PAA,41,14,0,41,27,41,0.34146341463414637,0.0,490831.0,13743.268,0.0,0.0,6.581954204306312,466,15.922804516188952,1252,0.0,41,13,1239,2.6587982832618025
60,,,120.0,117.0,5,53033,2784.8949909210205,2784.8949909210205,954.369001865387,923.6319978027605,0.0,,0.0,0,2977.0,2977.0,1071.369001865387,1039.0,2.8753697203045774,2.65,3.0,2988.0,21651.0,21571.0,0.9963050205533232,0,0,60,Redmond PAA,539,21,0,539,518,539,0.03896103896103896,0.0,490831.0,13743.268,0.0,0.0,5.49371439034474,1072,9.1478575751895,3032,0.0,539,0,3032,2.828358208955224
61,,,194.0,42.0,5,53033,906.1609783172607,906.1609783172607,330.88900434970856,305.1479969024659,0.0,,0.0,0,1021.0,1021.0,372.88900434970856,362.0,2.8319049582380176,2.65,3.0,1025.0,21651.0,21571.0,0.9963050205533232,0,0,61,Sammamish PAA,110,1,0,110,109,110,0.00909090909090909,0.0,490831.0,13743.268,0.0,0.0,2.70723824273972,378,5.468524842035203,1054,0.0,110,0,1054,2.7883597883597884
62,,,0.0,0.0,5,53033,11923.382645115691,11923.382645115691,4679.965512306826,4497.225094663474,0.0,,0.0,0,11437.0,11437.0,4679.965512306826,4540.0,2.528358755157424,2.65,3.0,11479.0,21651.0,21571.0,0.9963050205533232,0,0,616,King no growth UGA Bear Creek UPDKing no growth UGA Milton PAAKing no growth UGA Tukwila PAA,2867,65,0,2867,2802,2867,0.02267178235088943,0.0,490831.0,13743.268,0.0,0.0,2.0369002541202854,4552,0.0,11923,0.0,2867,0,11923,2.619288224956063
64,,,4211.0,3297.0,6,53033,131274.1854723111,130858.4309060891,51078.08266451197,47660.76828669653,415.7545662219868,,0.0065680327222812016,658,135284.0,134626.0,54375.08266451197,51656.0,2.62,2.62,5.0,135339.0,135339.0,134626.0,0.9947317476854417,0,0,365,King RuralKing Rural Ag & Resource,33951,9432,0,33951,24519,33951,0.2778121410267739,0.0,490831.0,13743.268,0.0,0.0,190.249129204927,52797,190.94354893756653,136430,0.0,33951,674,135756,2.571282459230638
65,20252.0,18734.0,9556.0,8505.0,1,53035,41067.36885800225,38503.033836029594,18539.043445112296,16888.565558031438,2564.3350219726562,0.08372830108332696,0.040511007463511974,4059,59801.36885800225,55742.36885800225,27044.043445112296,24779.69163302936,2.2495182621119505,,,,,,,14175,14175,466,BremertonNBK - Bremerton,32108,660,7982,40090,31448,46283,,,,,,,375.7679083332344,27034,892.0952380952381,65154,675.0,50333,4155,60999,2.256380853739735
67,2762.0,2695.0,1224.0,1195.0,1,53035,10140.250894115437,10135.250894115437,4413.451439674599,4142.155924428496,4.999999999999992,0.08372830108332696,7.898930349660037e-05,8,12835.250894115437,12827.250894115437,5608.451439674599,5138.865328922306,2.4961251313440234,,,,,,,2434,2434,67,Bremerton UGA,1323,252,0,1323,1071,3757,,,,,,,47.462352594943304,5424,128.33333333333334,13605,115.9047619047619,4452,8,13597,2.5068215339233038
